Back,Table 5. Gender Inequality Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SDG3.1,,SDG3.7,,SDG5.5,,SDG4.4,,,,,,,,,,,,SDG3,,SDG4.3,,SDG4.4,,SDG8.5,,,,
151,Cameroon,0.565,,148,,529,,110.4,,31.1,,36.8,d,55.0,d,70.2,,80.7,,Cameroon,0.576,,60.3,,13.1,e,6.2,n,"3,621",,6,,150,
152,Kenya,0.506,,128,,342,,64.2,,23.2,,31.1,d,37.7,d,71.0,,75.6,,Kenya,0.575,,61.4,,10.7,u,6.7,,"4,474",,-6,,150,
153,Congo,0.564,,147,,378,,103.6,,13.6,,48.0,,52.0,,65.1,,67.6,,Congo,0.571,,63.5,,12.3,e,6.2,,"2,889",,11,,153,
154,Zambia,0.540,,138,,213,,117.0,,15.1,,47.1,d,56.8,d,69.2,,77.8,,Zambia,0.565,,61.2,,10.9,w,7.2,n,"3,218",,7,,154,
155,Solomon Islands,..,,..,,104,,60.3,,8.0,,..,,..,,83.1,,87.4,,Solomon Islands,0.564,,70.3,,10.3,e,5.7,s,"2,482",,13,,155,
156,Comoros,..,,..,,273,,58.2,,16.7,,..,,..,,32.1,,54.5,,Comoros,0.558,,63.4,,11.9,e,5.1,l,"3,142",,6,,156,
156,Papua New Guinea,0.725,,169,,145,,55.3,,0.0,g,10.8,,15.5,,46.3,,48.1,,Papua New Guinea,0.558,,65.4,,10.4,u,4.7,,"4,009",,-4,,157,
158,Mauritania,0.632,,161,,766,,78.0,,20.3,,14.5,d,21.9,d,27.4,,62.2,,Mauritania,0.556,,64.4,,9.4,,4.9,n,"5,075",,-20,,158,
159,Côte d'Ivoire,0.613,,155,,617,,105.0,,15.6,,23.9,d,32.2,d,45.9,,64.9,,Côte d'Ivoire,0.550,,58.6,,10.7,,5.2,n,"5,217",,-22,,159,
,LOW HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,LOW HUMAN DEVELOPMENT,,,,,,,,,,,,,,
160,Tanzania (United Republic of),0.560,,146,,524,,123.7,,36.9,,13.0,c,19.1,c,79.5,,87.1,,Tanzania (United Republic of),0.549,,66.2,,9.2,,6.4,e,"2,664",,7,,160,
161,Pakistan,0.534,,135,,140,,42.3,,19.9,,22.1,,28.7,,20.7,,78.1,,Pakistan,0.544,,66.1,,8.7,,4.5,,"4,624",,-19,,161,
162,Togo,0.580,,149,,396,,77.9,,18.7,,13.9,d,42.3,d,55.5,,59.4,,Togo,0.539,,61.6,,13.0,e,5.0,n,"2,167",,12,,163,
163,Haiti,0.635,,163,,480,,52.5,,2.7,p,27.9,,41.0,,60.7,,68.9,,Haiti,0.535,,63.2,,9.7,p,5.6,,"2,848",,2,,162,
163,Nigeria,0.680,,168,,917,,101.7,,4.5,,40.4,q,55.3,q,47.9,,59.6,,Nigeria,0.535,,52.7,,10.1,u,7.2,w,"4,790",,-22,,163,
165,Rwanda,0.388,,93,,248,,32.4,,55.7,,11.4,c,16.3,c,82.5,,82.2,,Rwanda,0.534,,66.1,,11.2,,4.4,e,"2,210",,6,,165,
166,Benin,0.602,,152,,397,,92.3,,8.4,,21.1,d,34.4,d,69.3,,72.6,,Benin,0.525,,59.8,,10.8,,4.3,n,"3,409",,-7,,166,
166,Uganda,0.530,,131,,375,,107.9,,33.8,,29.3,,36.3,,64.2,,71.3,,Uganda,0.525,,62.7,,10.1,u,5.7,n,"2,181",,6,,166,
168,Lesotho,0.557,,144,,544,,89.6,,22.9,,27.2,f,24.6,f,56.1,,71.3,,Lesotho,0.514,,53.1,,12.0,e,6.0,n,"2,700",,-2,,168,
169,Malawi,0.554,,142,,349,,117.9,,22.9,,21.3,d,28.4,d,71.6,,80.0,,Malawi,0.512,,62.9,,12.7,e,4.5,n,"1,466",,13,,169,
170,Senegal,0.530,,131,,315,,66.5,,43.0,,11.1,c,30.9,c,33.5,,56.7,,Senegal,0.511,,67.1,,9.0,,2.9,e,"3,344",,-10,,170,
171,Djibouti,..,,..,,248,,22.7,,26.2,,..,,..,,17.2,,44.1,,Djibouti,0.509,,62.3,,7.4,e,4.1,l,"5,025",,-32,,171,
172,Sudan,0.553,,141,,295,,79.9,,31.0,r,16.4,,20.1,,28.7,,67.8,,Sudan,0.508,,65.3,,7.9,e,3.8,,"3,575",,-14,,171,
173,Madagascar,0.556,,143,,335,,119.4,,17.2,,27.3,s,29.8,s,81.5,,87.6,,Madagascar,0.501,,64.5,,10.1,e,5.1,u,"1,484",,8,,173,
174,Gambia,0.611,,153,,597,,63.2,,8.6,,29.9,,43.2,,48.9,,66.3,,Gambia,0.500,,62.1,,9.4,u,4.6,,"2,172",,-1,,173,
175,Ethiopia,0.520,,129,,401,,69.2,,39.5,,9.1,,20.1,,72.3,,84.7,,Ethiopia,0.498,,65.0,,9.7,e,3.2,,"2,361",,-5,,175,
176,Eritrea,..,,..,,480,,64.4,,22.0,p,..,,..,,70.2,,83.6,,Eritrea,0.492,,66.5,,8.1,e,4.9,y,"1,729",z,3,,176,
177,Guinea-Bissau,0.627,,159,,667,,87.5,,13.7,,9.8,,22.8,,63.9,,78.4,,Guinea-Bissau,0.483,,59.7,,10.6,m,3.6,,"1,908",,0,,177,
178,Liberia,0.648,,164,,661,,123.4,,9.7,,20.8,,39.2,,69.8,,79.7,,Liberia,0.481,,60.7,,10.4,,5.1,,"1,289",,7,,179,
179,Congo (Democratic Republic of the),0.601,,151,,473,,109.0,,14.3,,40.3,h,69.1,h,61.2,,69.1,,Congo (Democratic Republic of the),0.479,,59.2,,9.8,e,7.0,m,"1,076",,9,,180,
180,Afghanistan,0.678,,167,,638,,82.6,,27.2,,6.4,,14.9,,14.8,,66.5,,Afghanistan,0.478,,62.0,,10.3,e,3.0,,1,824,,-2,,177,
181,Sierra Leone,0.633,,162,,1120,,100.9,,12.3,,34.7,d,51.5,d,56.1,,55.9,,Sierra Leone,0.477,,60.1,,9.6,m,4.6,n,1622,,-1,,181,
182,Guinea,0.621,,157,,576,,114.8,,16.7,t,7.2,c,19.7,c,62.1,,62.2,,Guinea,0.465,,58.9,,9.8,e,2.2,e,"2,481",,-13,,182,
183,Yemen,0.820,,170,,164,,54.4,,0.3,,22.4,,37.5,,6.0,,67.6,,Yemen,0.455,,63.8,,9.1,,3.2,v,"1,314",,1,,183,
184,Burkina Faso,0.621,,157,,320,,110.5,,6.3,,11.3,c,17.1,c,57.2,,72.7,,Burkina Faso,0.449,,59.3,,9.1,,2.1,e,"2,118",,-8,,185,
185,Mozambique,0.537,,136,,289,,165.8,,42.4,,10.8,c,20.2,c,77.7,,78.9,,Mozambique,0.446,,59.3,,10.2,e,3.2,e,"1,198",,2,,184,
186,Mali,0.613,,155,,562,,150.1,,27.3,,8.0,,15.5,,57.7,,79.7,,Mali,0.428,,58.9,,7.4,e,2.3,,"2,133",,-11,,186,
187,Burundi,0.505,,127,,548,,53.6,,38.9,,7.8,c,13.0,c,79.0,,77.4,,Burundi,0.426,,61.7,,10.7,e,3.1,e,732,,4,,187,
188,Central African Republic,0.672,,166,,829,,160.5,,12.9,,13.9,,31.6,,63.3,,79.5,,Central African Republic,0.404,,53.9,,8.0,e,4.3,,966,,1,,188,
189,Niger,0.611,,153,,509,,170.5,,25.9,,9.2,d,15.2,d,61.7,,84.3,,Niger,0.400,,61.6,,7.0,e,2.1,n,"1,240",,-3,,189,
190,Chad,0.652,,165,,1140,,138.3,,32.3,,7.7,s,24.4,s,46.9,,69.9,,Chad,0.394,,52.5,,8.0,e,2.6,u,"1,364",,-7,,190,
191,South Sudan,0.587,,150,,1150,,99.2,,32.3,,26.5,,36.4,,70.4,,73.6,,South Sudan,0.385,,55.0,,5.5,e,5.7,,768,aa,-1,,191,
,OTHER COUNTRIES OR TERRITORIES,,,,,,,,,,,,,,,,,,,OTHER COUNTRIES OR TERRITORIES,,,,,,,,,,,,,,
,Korea (Democratic People's Rep. of),..,,..,,89,,2.3,,17.6,,..,,..,,77.2,,86.1,,Korea (Democratic People's Rep. of),..,,73.3,,10.8,p,..,,..,,..,,..,
,Monaco,..,,..,,..,,7.2,,33.3,,..,,..,,..,,..,,Monaco,..,,85.9,,..,,..,,..,,..,,..,
,Nauru,..,,..,,..,,72.5,,10.5,,..,,..,,..,,..,,Nauru,..,,63.6,,11.7,e,..,,"17,730",,..,,..,
,Somalia,..,,..,,829,,118.0,,24.6,,..,,..,,20.9,,47.0,,Somalia,..,,55.3,,..,,..,,"1,018",,..,,..,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,,Human development groups,,,,,,,,,,,,,,
,Very high human development,0.155,,—,,15,,14.1,,29.1,,87.0,,89.4,,52.6,,68.4,,Very high human development,0.896,,78.5,,16.5,,12.3,,"43,752",,—,,—,
,High human development,0.329,,—,,62,,28.0,,25.8,,72.7,,78.0,,53.6,,73.5,,High human development,0.754,,74.7,,14.2,,8.3,,"15,167",,—,,—,
,Medium human development,0.494,,—,,175,,38.1,,21.8,,44.0,,54.2,,28.8,,71.3,,Medium human development,0.636,,67.4,,11.9,,6.9,,"6,353",,—,,—,
,Low human development,0.577,,—,,499,,89.5,,24.3,,22.8,,34.1,,49.3,,73.2,,Low human development,0.518,,61.3,,9.5,,4.9,,"3,009",,—,,—,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Developing countries,0.487,,—,,247,,46.5,,23.9,,56.9,,64.7,,44.4,,72.8,,Developing countries,0.685,,69.9,,12.3,,7.5,,"10,704",,—,,—,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,,Regions,,,,,,,,,,,,,,
,Arab States,0.536,,—,,150,,45.3,,18.3,,53.8,,60.4,,19.3,,69.5,,Arab States,0.708,,70.9,,12.4,,8.0,,"13,501",,—,,—,
,East Asia and the Pacific,0.337,,—,,82,,21.6,,20.9,,71.4,,78.2,,59.7,,75.2,,East Asia and the Pacific,0.749,,75.6,,13.8,,7.8,,"15,580",,—,,—,
,Europe and Central Asia,0.227,,—,,20,,20.1,,26.1,,83.4,,89.7,,42.9,,67.0,,Europe and Central Asia,0.796,,72.9,,15.4,,10.6,,"19,352",,—,,—,
,Latin America and the Caribbean,0.381,,—,,75,,53.4,,33.2,,63.2,,63.2,,48.6,,72.7,,Latin America and the Caribbean,0.754,,72.1,,14.8,,9.0,,"14,521",,—,,—,
,South Asia,0.508,,—,,153,,28.9,,17.6,,42.2,,52.8,,21.6,,71.6,,South Asia,0.632,,67.9,,11.6,,6.7,,"6,481",,—,,—,
,Sub-Saharan Africa,0.569,,—,,536,,100.9,,25.7,,31.1,,44.3,,62.1,,72.3,,Sub-Saharan Africa,0.547,,60.1,,10.3,,6.0,,"3,699",,—,,—,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Least developed countries,0.562,,—,,417,,93.7,,24.7,,27.5,,38.7,,54.6,,75.8,,Least developed countries,0.540,,64.2,,10.2,,5.2,,"2,881",,—,,—,
,Small island developing states,0.461,,—,,212,,50.9,,26.7,,62.1,,65.7,,50.4,,68.7,,Small island developing states,0.730,,70.3,,12.4,,9.1,,"16,782",,—,,—,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,0.185,,—,,18,,19.2,,32.4,,86.7,,89.1,,51.8,,67.8,,Organisation for Economic Co-operation and Development,0.899,,79.0,,16.5,,12.3,,"45,087",,—,,—,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,0.465,,—,,225,,42.5,,25.9,,64.2,,70.3,,46.2,,71.7,,World,0.732,,71.4,,12.8,,8.6,,"16,752",,—,,—,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a. Estimates modelled by the International Labour Organization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b. Data refer to 2021 or the most recent year available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c. Updated by HDRO based on data from UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d. Updated by HDRO based on data from Barro and Lee (2018) and UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. Updated by HDRO based on data from OECD (2022) and UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"f. HDRO estimate based on data from Robert Barro and Jong-Wha Lee, ICF Macro Demographic and Health Surveys, the Organisation for Economic Co-operation and Development, United Nations Children’s Fund (UNICEF) Multiple Indicator Cluster Surveys and the United Nations Educational, Scientific and Cultural Organization Institute for Statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"g. In calculating the Gender Inequality Index, a value of 0.1 percent was used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h. Updated by HDRO based on data from UNESCO Institute for Statistics (2022) and UNICEF Multiple Indicator Cluster Surveys for various years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i. Updated by HDRO using projections from Barro and Lee (2018).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j. Excludes the 36 special rotating delegates appointed on an ad hoc basis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,k. Based on cross-country regression.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l. Updated by HDRO based on data from Barro and Lee (2018) and ICF Macro Demographic and Health Surveys for various years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"m. Updated by HDRO based on data from the United Nations Educational, Scientific and Cultural Organization Institute for Statistics for various years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"n. A special update by WHO, UNICEF, UNFPA, World Bank Group and United Nations Population Division (2019), communicated to HDRO on 7 September 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,o. Based on projections from Barro and Lee (2018).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p. Refers to 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,q. Updated by HDRO based on data from ICF Macro Demographic and Health Surveys for various years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r. Refers to 2018.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s. Updated by HDRO based on data from ICF Macro Demographic and Health Surveys for various years and UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t. Refers to 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gender Inequality Index: A composite measure reflecting inequality in achievement between women and men in three dimensions: reproductive health, empowerment and the labour market. See Technical note 4 at http://hdr.undp.org/sites/default/files/hdr2022_technical_notes.pdf for details on how the Gender Inequality Index is calculated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Maternal mortality ratio: Number of deaths due to pregnancy-related causes per 100,000 live births.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adolescent birth rate: Number of births to women ages 15–19 per 1,000 women ages 15–19.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Share of seats in parliament: Proportion of seats held by women in the national parliament expressed as a percentage of total seats. For countries with a bicameral legislative system, the share of seats is calculated based on both houses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Population with at least some secondary education: Percentage of the population ages 25 and older that has reached (but not necessarily completed) a secondary level of education.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Labour force participation rate: Proportion of the working-age population (ages 15 and older) that engages in the labour market, either by working or actively looking for work, expressed as a percentage of the working-age population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main data sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 1: HDRO calculations based on data in columns 3–9.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 2: Calculated based on data in column 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Column 3: WHO, UNICEF, UNFPA, World Bank Group and United Nations Population Division (2019).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 4: UNDESA (2022a).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 5: IPU (2022).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Columns 6 and 7: Barro and Lee (2018), ICF Macro Demographic and Health Surveys, OECD (2022), UNESCO Institute for Statistics (2022) and UNICEF Multiple Indicator Cluster Surveys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Columns 8 and 9: ILO (2022).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
